"Page_views","word_count","read_time","gender","pictures","type","clickbait_title"
17980,2334,9,"Female",3,"Entertainment","Yes"
24649,3016,9,"Female",2,"Entertainment","Yes"
18119,2167,7,"Female",2,"News","Yes"
5375,1516,7,"Male",1,"Entertainment","No"
12816,2153,8,"Female",1,"Entertainment","Yes"
20202,2337,8,"Male",1,"News","Yes"
19239,2570,9,"Male",3,"Entertainment","Yes"
19186,4482,14,"Male",1,"Entertainment","Yes"
7080,3231,10,"Male",0,"Entertainment","No"
12928,3322,10,"Male",1,"Entertainment","Maybe"
25959,3196,11,"Male",2,"Entertainment","Yes"
16172,2202,7,"Male",2,"News","Yes"
12851,2841,9,"Male",1,"News","No"
19241,3069,9,"Male",3,"Entertainment","Yes"
8167,2990,10,"Female",1,"Entertainment","Yes"
22379,2631,10,"Female",1,"Entertainment","Maybe"
14471,2379,8,"Female",4,"Entertainment","No"
17935,2074,8,"Male",3,"News","Maybe"
23499,3509,11,"Female",5,"News","Maybe"
30962,3774,12,"Female",5,"Entertainment","Maybe"
25059,4265,14,"Male",2,"Entertainment","Yes"
14496,2668,9,"Female",2,"News","No"
18624,4915,16,"Female",1,"News","Yes"
10564,1647,5,"Male",3,"Entertainment","Yes"
7445,2419,8,"Female",2,"Entertainment","No"
10119,2597,9,"Female",5,"News","No"
15286,501,2,"Male",2,"Entertainment","No"
19113,3080,10,"Female",2,"Entertainment","Yes"
29828,3918,12,"Male",2,"Entertainment","Yes"
13740,3020,10,"Female",2,"Entertainment","No"
11998,2586,9,"Male",0,"Entertainment","Yes"
18150,2906,9,"Female",2,"Entertainment","Yes"
15963,3209,11,"Male",2,"Entertainment","No"
17063,2962,9,"Female",1,"Entertainment","No"
15436,3612,12,"Female",6,"News","Maybe"
15577,3217,10,"Male",2,"News","Yes"
31539,3920,13,"Female",2,"Entertainment","Yes"
15895,1553,5,"Female",2,"News","No"
19222,3638,12,"Male",0,"Entertainment","Yes"
8877,1505,6,"Other",1,"Entertainment","Maybe"
11829,2792,10,"Male",2,"News","No"
14106,4307,14,"Male",3,"Entertainment","No"
22000,2151,8,"Male",1,"News","Yes"
25781,4303,14,"Female",3,"Entertainment","Yes"
17232,3320,10,"Male",2,"News","Yes"
11988,3224,11,"Female",3,"Entertainment","Maybe"
24973,3845,14,"Female",2,"Entertainment","Yes"
20080,4032,14,"Other",6,"News","No"
15156,2429,8,"Female",0,"News","Maybe"
14131,3154,11,"Female",1,"Entertainment","No"
16643,2133,7,"Female",1,"Entertainment","Maybe"
18546,3637,13,"Female",4,"News","Yes"
23724,5290,17,"Female",2,"News","No"
24834,2595,8,"Male",1,"Entertainment","Yes"
24429,3411,11,"Female",4,"News","Maybe"
17220,4158,14,"Female",4,"Entertainment","No"
15283,1936,8,"Male",1,"Entertainment","No"
11456,3010,10,"Male",2,"News","No"
13369,2853,10,"Male",2,"Entertainment","Maybe"
21709,1503,6,"Female",4,"Entertainment","Yes"
24911,3552,12,"Male",4,"News","Yes"
14488,3272,12,"Female",1,"News","No"
18994,4200,14,"Female",2,"News","Yes"
23544,3851,12,"Male",4,"Entertainment","Maybe"
16631,2299,8,"Other",0,"News","No"
23678,4724,15,"Male",4,"News","Maybe"
15671,4624,14,"Female",2,"Entertainment","Yes"
19353,3795,12,"Female",1,"Entertainment","No"
12704,1829,6,"Male",2,"Entertainment","No"
12648,250,2,"Male",2,"Entertainment","No"
26688,5574,17,"Female",1,"News","No"
21644,2279,8,"Female",2,"Entertainment","Yes"
28660,4940,16,"Male",8,"News","Yes"
12544,2102,6,"Male",1,"News","No"
26919,2908,9,"Male",2,"Entertainment","Yes"
15602,3083,11,"Female",3,"Entertainment","No"
18909,2845,9,"Male",2,"Entertainment","No"
21360,4546,15,"Male",2,"Entertainment","No"
16590,3147,10,"Male",3,"Entertainment","No"
8028,2585,9,"Female",3,"Entertainment","No"
24023,2913,10,"Male",3,"News","Yes"
19740,3602,12,"Female",0,"Entertainment","Yes"
13291,478,2,"Male",3,"Entertainment","Yes"
24148,4692,14,"Female",1,"Entertainment","Yes"
14596,3774,12,"Male",3,"Entertainment","No"
19231,1882,7,"Female",1,"News","Yes"
30120,3303,10,"Male",7,"Entertainment","Yes"
23259,2381,9,"Female",2,"Entertainment","Yes"
25716,5505,18,"Female",2,"Entertainment","Yes"
10721,2388,8,"Male",3,"News","No"
23209,3963,13,"Female",2,"Entertainment","Yes"
11596,4032,13,"Male",2,"Entertainment","Yes"
16610,2170,9,"Male",2,"Entertainment","Yes"
23023,2804,10,"Female",1,"Entertainment","Yes"
10888,4114,14,"Female",2,"Entertainment","No"
10066,2187,8,"Female",3,"Entertainment","No"
14825,2983,10,"Female",3,"News","No"
11169,3512,11,"Male",1,"Entertainment","No"
19940,4750,16,"Male",4,"News","Yes"
22662,4272,14,"Female",1,"Entertainment","Maybe"
22247,4426,14,"Male",2,"News","Yes"
21036,2460,8,"Male",5,"Entertainment","No"
19085,3151,11,"Female",1,"Entertainment","Yes"
5973,2273,9,"Female",0,"Entertainment","No"
11599,2835,9,"Female",2,"News","No"
25299,3681,12,"Male",1,"Entertainment","Maybe"
13297,2040,7,"Female",5,"News","Yes"
10502,2221,8,"Male",3,"News","Maybe"
18625,2899,10,"Female",1,"Entertainment","Yes"
23102,4774,15,"Male",3,"News","Yes"
26100,3783,11,"Female",1,"Entertainment","Yes"
19533,2781,9,"Male",2,"Entertainment","Yes"
28325,1802,6,"Male",7,"Entertainment","Yes"
43803,5175,17,"Female",5,"Entertainment","Yes"
19934,3770,12,"Male",2,"News","Yes"
17513,3061,10,"Male",1,"Entertainment","No"
25623,4186,12,"Male",4,"Entertainment","No"
10564,1522,5,"Male",1,"News","No"
11155,3366,11,"Male",1,"Entertainment","No"
12033,1218,4,"Female",2,"Entertainment","No"
13582,1196,5,"Male",3,"News","Yes"
27341,5736,18,"Female",0,"News","No"
20329,3180,10,"Male",4,"News","No"
13662,2515,9,"Male",3,"News","Maybe"
16990,1521,6,"Female",2,"News","No"
9300,2989,10,"Male",0,"Entertainment","No"
18127,2028,7,"Male",3,"News","Yes"
22707,4496,14,"Female",3,"News","No"
18199,2604,10,"Male",2,"Entertainment","No"
28281,3339,11,"Female",1,"News","No"
18903,2989,9,"Male",1,"News","No"
9469,2875,10,"Female",1,"Entertainment","No"
20135,3371,11,"Female",2,"News","Maybe"
23133,4168,14,"Female",2,"Entertainment","Yes"
9930,4067,12,"Male",2,"Entertainment","No"
12135,3742,12,"Female",1,"Entertainment","No"
22776,2967,10,"Female",3,"News","No"
21141,1780,6,"Female",0,"Entertainment","Yes"
25965,4070,13,"Female",0,"Entertainment","No"
13958,2674,8,"Male",1,"News","Yes"
8632,1012,4,"Male",0,"Entertainment","No"
11097,2350,8,"Male",0,"Entertainment","Yes"
22088,2939,10,"Male",5,"Entertainment","Yes"
13437,2982,9,"Male",0,"News","Yes"
23079,2981,10,"Female",0,"News","Yes"
15536,2137,8,"Female",2,"Entertainment","Yes"
21197,3826,13,"Female",2,"Entertainment","No"
25623,3806,13,"Male",1,"News","Yes"
22058,3124,11,"Male",4,"Entertainment","Yes"
21724,3279,12,"Female",3,"News","No"
26978,3545,12,"Female",1,"Entertainment","Yes"
8578,2259,7,"Male",4,"News","Yes"
27282,4711,15,"Female",0,"News","No"
7515,2769,9,"Female",3,"Entertainment","No"
16781,3530,11,"Male",3,"News","No"
19293,3395,11,"Male",4,"News","Maybe"
6998,2077,7,"Female",4,"News","No"
16825,1828,6,"Female",2,"Entertainment","No"
10219,729,3,"Female",1,"News","Yes"
14938,3344,10,"Male",0,"Entertainment","No"
20365,2858,11,"Male",3,"News","Yes"
21128,2518,8,"Female",2,"News","Yes"
12104,2170,7,"Male",1,"News","Yes"
26315,3757,13,"Female",2,"News","No"
15239,3629,11,"Male",4,"Entertainment","No"
25853,3724,12,"Male",5,"News","Yes"
11300,2124,7,"Male",0,"Entertainment","Yes"
27606,4418,14,"Male",3,"Entertainment","Yes"
6955,2835,10,"Male",2,"Entertainment","No"
22944,2252,9,"Female",2,"Entertainment","Yes"
19156,2425,8,"Male",3,"Entertainment","Maybe"
21788,2714,10,"Male",1,"News","No"
13305,1817,7,"Male",4,"Entertainment","No"
20177,2897,9,"Male",2,"Entertainment","No"
7853,973,4,"Female",1,"Entertainment","Yes"
21290,4734,17,"Female",0,"News","No"
14052,2465,9,"Male",3,"Entertainment","Yes"
24339,2644,9,"Female",0,"Entertainment","Yes"
21499,1939,6,"Female",4,"Entertainment","No"
11089,2419,9,"Female",1,"Entertainment","No"
23850,2338,8,"Female",1,"News","Yes"
12028,3149,11,"Female",2,"Entertainment","No"
7401,3136,10,"Female",6,"News","No"
22404,3301,11,"Female",1,"News","No"
27786,4538,15,"Female",1,"News","Yes"
21119,1663,7,"Female",6,"Entertainment","Yes"
17435,4032,13,"Male",2,"News","No"
15590,3934,14,"Male",3,"Entertainment","No"
9954,2253,8,"Male",2,"Entertainment","Yes"
31771,3714,12,"Male",3,"Entertainment","Yes"
23941,5317,17,"Male",2,"Entertainment","Yes"
18824,2000,8,"Female",1,"News","Yes"
9583,2940,10,"Female",2,"News","No"
3997,1722,6,"Female",1,"Entertainment","No"
11895,1499,5,"Male",1,"Entertainment","Maybe"
13732,2852,9,"Female",1,"News","No"
-3495,1872,8,"Female",2,"Entertainment","No"
18547,2165,8,"Female",2,"Entertainment","Maybe"
22530,3366,11,"Male",6,"News","No"
15577,2206,7,"Male",1,"Entertainment","Yes"
16930,3727,13,"Female",3,"Entertainment","No"
27120,4175,14,"Male",1,"News","Yes"
11505,2975,11,"Male",1,"Entertainment","No"
11677,3846,12,"Female",2,"News","Maybe"
9635,2750,9,"Female",3,"News","No"
21514,2581,9,"Male",0,"Entertainment","Yes"
15417,2607,8,"Male",2,"News","Yes"
13613,4585,16,"Male",0,"Entertainment","No"
10783,2962,10,"Female",2,"News","No"
13250,1812,7,"Male",1,"News","No"
15494,2617,9,"Female",2,"News","Yes"
22869,1393,5,"Male",0,"Entertainment","Yes"
15758,1463,6,"Female",1,"Entertainment","Yes"
15456,2567,9,"Female",0,"News","No"
12176,2241,8,"Male",1,"News","No"
12813,2906,10,"Female",0,"Entertainment","No"
28850,4728,17,"Male",1,"Entertainment","No"
20155,2386,8,"Female",1,"Entertainment","No"
14531,2313,9,"Female",4,"News","Yes"
16693,2521,8,"Male",2,"Entertainment","Yes"
14955,1408,5,"Male",1,"Entertainment","Maybe"
14829,2812,11,"Female",5,"News","No"
10346,2098,7,"Female",2,"News","No"
12830,2558,8,"Female",4,"News","No"
10564,3393,11,"Female",2,"Entertainment","Yes"
26967,2771,9,"Female",2,"News","Yes"
6611,4462,14,"Male",1,"Entertainment","Maybe"
14097,3275,11,"Female",0,"Entertainment","Maybe"
23929,3017,10,"Male",2,"News","Yes"
20500,3297,11,"Male",1,"Entertainment","No"
7781,1431,6,"Female",4,"News","Yes"
10545,2885,9,"Male",5,"Entertainment","No"
11609,2348,8,"Female",2,"News","No"
21555,3821,13,"Male",1,"News","Yes"
15098,2590,9,"Male",4,"Entertainment","Yes"
17151,1923,7,"Female",1,"Entertainment","No"
21386,2739,9,"Male",2,"Entertainment","Yes"
19833,3778,12,"Female",0,"News","Yes"
28726,4440,14,"Female",1,"Entertainment","Yes"
23993,3709,12,"Female",0,"Entertainment","Yes"
15298,2060,7,"Male",0,"Entertainment","Yes"
5272,2896,9,"Male",0,"News","No"
19804,3424,12,"Female",5,"Entertainment","Yes"
9107,1827,7,"Male",2,"Entertainment","No"
15837,2665,9,"Male",6,"Entertainment","No"
11585,1939,6,"Male",3,"News","Maybe"
15965,2103,7,"Female",2,"Entertainment","Maybe"
20273,2631,10,"Female",2,"News","Maybe"
11190,3299,10,"Other",2,"Entertainment","Yes"
25548,4090,13,"Female",1,"Entertainment","Yes"
19700,3143,11,"Male",2,"Entertainment","Maybe"
27833,4989,16,"Male",5,"Entertainment","Yes"
15681,4322,14,"Male",2,"Entertainment","No"
11759,4059,13,"Female",3,"Entertainment","No"
15841,3965,13,"Male",2,"Entertainment","No"
15253,1916,8,"Female",0,"News","Yes"
9952,1165,5,"Male",4,"Entertainment","No"
12521,4020,13,"Female",1,"Entertainment","No"
23446,4852,16,"Male",2,"News","No"
21372,4033,12,"Male",3,"Entertainment","Yes"
22214,3697,12,"Male",3,"News","No"
17815,2368,9,"Female",0,"News","Yes"
26659,3593,11,"Female",2,"Entertainment","Yes"
19953,2251,8,"Other",1,"Entertainment","No"
25328,3583,13,"Female",4,"Entertainment","Yes"
18416,4543,15,"Female",3,"Entertainment","Yes"
22327,3209,11,"Female",1,"News","No"
18359,3526,12,"Male",1,"News","Yes"
16048,3814,13,"Female",2,"News","No"
11555,3481,11,"Male",2,"Entertainment","Yes"
12275,4094,12,"Male",1,"Entertainment","No"
11754,1153,5,"Female",3,"Entertainment","No"
19375,2374,8,"Male",1,"News","Yes"
10903,2269,8,"Male",0,"Entertainment","Maybe"
17086,1794,7,"Male",3,"Entertainment","No"
11890,1188,4,"Male",2,"News","Yes"
22035,2676,9,"Female",1,"Entertainment","Yes"
11437,3927,12,"Male",0,"News","Yes"
13214,2521,9,"Male",0,"Entertainment","No"
27965,3970,13,"Female",4,"Entertainment","Yes"
23348,5082,16,"Female",2,"News","Yes"
18283,1910,7,"Female",1,"Entertainment","Yes"
17483,2214,7,"Female",1,"Entertainment","Yes"
21259,3116,10,"Female",3,"Entertainment","Yes"
19727,3474,12,"Male",3,"News","Yes"
24306,4187,14,"Female",0,"News","Yes"
10064,2110,8,"Female",2,"Entertainment","Maybe"
18847,1860,7,"Female",3,"Entertainment","Maybe"
31843,4510,14,"Male",2,"Entertainment","Yes"
23328,3566,12,"Male",1,"News","Yes"
20908,3854,12,"Male",3,"Entertainment","Yes"
23787,3487,11,"Female",2,"News","Yes"
25172,3397,10,"Male",1,"Entertainment","Maybe"
7983,3834,13,"Male",3,"News","No"
17107,1799,6,"Female",1,"News","No"
18824,3775,12,"Male",2,"Entertainment","Maybe"
12366,1736,7,"Female",1,"Entertainment","Yes"
9924,1964,6,"Female",2,"Entertainment","Yes"
20401,3085,11,"Female",2,"News","Yes"
11715,3328,11,"Other",1,"News","Maybe"
8830,2048,7,"Female",1,"Entertainment","Yes"
12237,4706,14,"Male",0,"Entertainment","Yes"
24290,4165,15,"Female",3,"Entertainment","Yes"
14203,4145,13,"Female",1,"News","Maybe"
13920,3545,10,"Male",2,"News","Yes"
9278,3182,10,"Male",1,"Entertainment","No"
17787,3191,10,"Male",4,"News","Yes"
19004,2737,10,"Female",4,"News","Yes"
17513,3847,12,"Male",1,"News","Yes"
29494,4234,14,"Female",0,"News","No"
7932,2597,9,"Female",2,"News","No"
18662,2711,9,"Male",1,"Entertainment","Yes"
16304,2510,9,"Male",1,"News","Maybe"
12954,3024,10,"Female",4,"News","No"
2124,2912,9,"Male",0,"Entertainment","No"
22494,2667,9,"Female",0,"Entertainment","Yes"
5120,2287,8,"Male",0,"Entertainment","No"
5099,1699,6,"Female",3,"News","Maybe"
27320,4222,14,"Other",0,"Entertainment","Yes"
28851,3586,12,"Female",1,"News","Yes"
22172,5860,18,"Female",1,"News","No"
18157,2040,6,"Male",2,"News","Yes"
18912,3394,11,"Male",2,"Entertainment","Yes"
10309,1542,5,"Male",1,"News","No"
10196,1124,5,"Male",3,"Entertainment","No"
30195,3587,11,"Female",3,"Entertainment","Yes"
22967,3643,12,"Male",3,"Entertainment","Yes"
7823,2552,9,"Male",1,"Entertainment","No"
12989,2979,10,"Other",1,"Entertainment","Maybe"
12935,2644,9,"Male",1,"Entertainment","Yes"
10923,2116,7,"Female",4,"News","Yes"
16445,2843,8,"Female",1,"Entertainment","Yes"
12948,2450,8,"Other",1,"Entertainment","No"
21893,3812,13,"Female",1,"Entertainment","Yes"
14809,2571,9,"Male",1,"Entertainment","Yes"
13558,1846,7,"Female",1,"News","No"
7227,250,2,"Male",4,"Entertainment","No"
13557,363,4,"Male",3,"Entertainment","Yes"
24232,4510,14,"Female",1,"News","No"
17038,3978,12,"Female",4,"Entertainment","Yes"
20115,3919,13,"Male",0,"News","No"
13392,3329,11,"Male",3,"Entertainment","Yes"
24622,3008,11,"Male",1,"Entertainment","Yes"
22367,2905,10,"Female",1,"News","Yes"
23206,3330,11,"Male",2,"Entertainment","Yes"
20599,4261,14,"Female",0,"News","No"
18386,1783,6,"Female",3,"Entertainment","Yes"
19160,1976,8,"Male",5,"News","Yes"
21588,3903,12,"Male",3,"Entertainment","Yes"
20926,4299,14,"Male",1,"News","Yes"
5687,2177,8,"Female",1,"Entertainment","No"
17920,2344,8,"Female",2,"News","Yes"
13803,2822,10,"Female",3,"Entertainment","No"
23663,1775,5,"Male",0,"Entertainment","Yes"
14548,1689,6,"Other",1,"News","Yes"
17509,1918,7,"Male",0,"Entertainment","Yes"
23424,3637,11,"Other",4,"News","No"
11567,3034,10,"Female",2,"Entertainment","Maybe"
21282,3959,13,"Female",6,"News","Yes"
-350,2062,7,"Male",0,"Entertainment","No"
